Period 1996 - 2005 - Country - Unnamed: 0_level_2,Period 1996 - 2005 - Population  (thousands) - Unnamed: 1_level_2,Period 1996 - 2005 - Water footprint of consumption of agricultural products - Internal,Period 1996 - 2005 - Water footprint of consumption of agricultural products - Internal.1,Period 1996 - 2005 - Water footprint of consumption of agricultural products - Internal.2,Period 1996 - 2005 - Water footprint of consumption of agricultural products - External,Period 1996 - 2005 - Water footprint of consumption of agricultural products - External.1,Period 1996 - 2005 - Water footprint of consumption of agricultural products - External.2,Period 1996 - 2005 - Water footprint of consumption of industrial products - Internal,Period 1996 - 2005 - Water footprint of consumption of industrial products - Internal.1,Period 1996 - 2005 - Water footprint of consumption of industrial products - External,Period 1996 - 2005 - Water footprint of consumption of industrial products - External.1,Period 1996 - 2005 - Water footprint of domestic water consumption - Unnamed: 12_level_2,Period 1996 - 2005 - Water footprint of domestic water consumption - Unnamed: 13_level_2,Period 1996 - 2005 - Total water footprint of national consumption - Internal,Period 1996 - 2005 - Total water footprint of national consumption - Internal.1,Period 1996 - 2005 - Total water footprint of national consumption - Internal.2,Period 1996 - 2005 - Total water footprint of national consumption - External,Period 1996 - 2005 - Total water footprint of national consumption - External.1,Period 1996 - 2005 - Total water footprint of national consumption - External.2,Period 1996 - 2005 - Total water footprint of national consumption - Total,Period 1996 - 2005 - Total water footprint of national consumption - Total.1,Period 1996 - 2005 - Total water footprint of national consumption - Total.2,Period 1996 - 2005 - Total water footprint of national consumption - Total.3
,,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey,Blue,Grey,blue,grey,Green,Blue,Grey,Green,Blue,Grey,Green,Blue,Grey,Total
Colombia,40093.6,894.4871777378038,34.116738618377944,30.507419907065167,226.9919185460957,17.847502516973865,19.91715360792961,0.3907930040495907,7.26674203800487,0.825240002509662,8.07151488913075,13.443542111459184,120.99187900313267,894.4871777378038,47.951073733886716,158.76604094820271,226.9919185460957,18.672742519483528,27.98866849706036,1121.4790962838995,66.62381625337025,186.75470944526305,1374.8576219825327
Comoros,710.2,1107.3818058488507,2.223682042333475,0,102.11782240823686,84.61456203196627,18.207343192315676,0.032002433598370975,0.6080017786197878,0.31298044274994374,2.9317700453696265,0.6758659532526048,6.082793579273444,1107.3818058488507,2.9315504291844507,6.690795357893233,102.11782240823686,84.92754247471622,21.1391132376853,1209.4996282570876,87.85909290390066,27.829908595578534,1325.1886297565668
"Congo, Dem Republic",52052.6,529.8006216697416,1.701394055460988,0.2984612380023122,10.190246248984325,3.350356107301155,2.561354775902032,0.020695406750064718,0.37646609436230005,0.011048361060641177,0.12102376188288498,0.36501538828031654,3.2851384945228483,529.8006216697416,2.0871048504913694,3.9600658268874604,10.190246248984325,3.3614044683617963,2.6823785377849174,539.9908679187259,5.448509318853166,6.642444364672379,552.0818216022516
"Congo, Republic",3096.2000000000003,506.641296671343,6.465129865240724,1.0017539960937856,191.27432830886437,47.72661160841264,21.432966574309408,0.024389699392121374,0.2627986348594772,0.1402915084927122,0.8746579874914987,1.0335249660874621,9.301724694787158,506.641296671343,7.523044530720307,10.56627732574042,191.27432830886437,47.866903116905355,22.307624561800903,697.9156249802073,55.389947647625654,32.87390188754132,786.1794745153743
Costa Rica,3962.9,687.6895229311624,37.43252017356001,43.112713611821775,348.4756695217309,47.12276773168758,42.58509910876368,3.1358218619762472,57.04478040273288,2.6858915800418726,24.27640598389384,19.93489616190164,176.85803640214198,687.6895229311624,60.503238197437895,277.0155304166966,348.4756695217309,49.80865931172946,66.86150509265752,1036.1651924528933,110.31189750916734,343.87703550935413,1490.3541254714146
Côte d'Ivoire,17422.3,1158.5350068291825,6.670779643333097,14.976004478295152,45.46900752246512,36.26243107679296,12.134117347036769,0.25646410451379725,4.796816336825271,0.31338843316332393,3.455624843524042,1.2627494647664204,11.36474518289778,1158.5350068291825,8.189993212613315,31.137565998018207,45.46900752246512,36.57581950995628,15.589742190560811,1204.0040143516478,44.7658127225696,46.727308188579016,1295.4971352627963
Croatia,4520.8,892.6929155328063,0.5650257056344345,136.04310678878113,462.2862257546419,28.560006656628342,49.67128456127864,0.5441867995469105,6.940344660623096,8.060952178634588,102.39065367828277,0,0,892.6929155328063,1.109212505181345,142.9834514494042,462.2862257546419,36.62095883526293,152.0619382395614,1354.9791412874483,37.73017134044428,295.0453896889656,1687.7547023168581
Cuba,11090.9,1189.6238157394725,74.88332057863708,41.37523488561483,175.24933994783768,11.718276581780785,26.708350313220087,4.194752323305943,48.6079326802599,0.8479798872578269,10.304536155935095,14.065585299660086,89.57125984349938,1189.6238157394725,93.14365820160312,179.5544274093741,175.24933994783768,12.566256469038612,37.012886469155184,1364.8731556873101,105.70991467064172,216.5673138785293,1687.1503842364812
Cyprus,790.9000000000001,364.39305416032227,220.60439867804226,27.607019524105045,1317.875792161942,106.71937394230994,96.71395231741063,0.18937000450169206,2.423505289645658,13.30195917201408,166.06508426060466,8.534580857251234,60.97018668272065,364.39305416032227,229.32834953979517,91.00071149647135,1317.875792161942,120.02133311432404,262.7790365780153,1682.2688463222644,349.3496826541192,353.77974807448663,2385.39827705087
Czech Republic,10228.3,818.5666042757236,1.000779215895611,149.17125803069322,418.1544701895289,56.19373591844716,40.80180047291836,3.9270050094172095,14.966154837731809,8.33871426249007,90.13091910001661,10.265635540607924,39.09127477351692,818.5666042757236,15.193419765920744,203.22868764194197,418.1544701895289,64.53245018093723,130.93271957293496,1236.7210744652525,79.72586994685798,334.16140721487693,1650.6083516269873
